Team,Opponent,Team-Score,Opponent-Score,Win,Date,Time,Location,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,DRtg,Season,Playoff,Home
Detroit Pistons,Atlanta Hawks,106,94,1,2015-10-27,8:00 PM,"Philips Arena, Atlanta, Georgia",37,96,0.385,12,29,0.414,20,26,0.769,23,36,59,23,5,3,15,15,0.493,0.44799999999999995,0.302,0.271,41.1,83.7,59.6,62.2,5.2,5.5,12.3,111.2,98.6,2015-16,0,0
Golden State Warriors,New Orleans Pelicans,111,95,1,2015-10-27,10:30 PM,"Oracle Arena, Oakland, California",41,96,0.42700000000000005,9,30,0.3,20,22,0.909,21,35,56,29,8,7,20,29,0.525,0.474,0.313,0.22899999999999998,45.7,81.4,62.9,70.7,8.0,10.8,15.9,110.9,94.9,2015-16,0,1
Chicago Bulls,Cleveland Cavaliers,97,95,1,2015-10-27,8:00 PM,"United Center, Chicago, Illinois",37,87,0.425,7,19,0.368,16,23,0.696,7,40,47,13,6,10,13,22,0.499,0.466,0.218,0.264,15.2,78.4,48.5,35.1,6.0,15.4,11.8,97.5,95.5,2015-16,0,1
New Orleans Pelicans,Golden State Warriors,95,111,0,2015-10-27,10:30 PM,"Oracle Arena, Oakland, California",35,83,0.42200000000000004,6,18,0.33299999999999996,19,27,0.7040000000000001,8,25,33,21,9,3,18,26,0.501,0.45799999999999996,0.217,0.325,18.6,54.3,37.1,60.0,9.0,4.5,15.9,94.9,110.9,2015-16,0,0
Cleveland Cavaliers,Chicago Bulls,95,97,0,2015-10-27,8:00 PM,"United Center, Chicago, Illinois",38,94,0.40399999999999997,9,29,0.31,10,17,0.588,11,39,50,26,5,7,10,21,0.46799999999999997,0.452,0.309,0.18100000000000002,21.6,84.8,51.5,68.4,5.0,10.3,9.0,95.5,97.5,2015-16,0,0
Atlanta Hawks,Detroit Pistons,94,106,0,2015-10-27,8:00 PM,"Philips Arena, Atlanta, Georgia",37,82,0.451,8,27,0.29600000000000004,12,15,0.8,7,33,40,22,9,4,15,25,0.53,0.5,0.32899999999999996,0.183,16.3,58.9,40.4,59.5,9.4,6.0,14.5,98.6,111.2,2015-16,0,1
Minnesota Timberwolves,Los Angeles Lakers,112,111,1,2015-10-28,10:30 PM,"STAPLES Center, Los Angeles, California",38,83,0.45799999999999996,5,20,0.25,31,37,0.838,6,33,39,24,3,4,8,26,0.564,0.488,0.24100000000000002,0.446,14.3,73.3,44.8,63.2,3.0,7.1,7.5,111.9,110.9,2015-16,0,0
Chicago Bulls,Brooklyn Nets,115,100,1,2015-10-28,7:30 PM,"Barclays Center, Brooklyn, New York",42,78,0.5379999999999999,14,28,0.5,17,20,0.85,5,34,39,20,9,3,19,24,0.662,0.628,0.359,0.256,14.7,68.0,46.4,47.6,9.1,3.6,18.0,116.1,101.0,2015-16,0,0
Cleveland Cavaliers,Memphis Grizzlies,106,76,1,2015-10-28,8:00 PM,"FedEx Forum, Memphis, Tennessee",41,84,0.488,13,29,0.44799999999999995,11,17,0.647,12,42,54,29,7,2,19,25,0.579,0.565,0.345,0.20199999999999999,29.3,79.2,57.4,70.7,7.3,3.0,17.2,110.8,79.4,2015-16,0,0
Dallas Mavericks,Phoenix Suns,111,95,1,2015-10-28,10:00 PM,"Talking Stick Resort Arena, Phoenix, Arizona",40,85,0.47100000000000003,10,21,0.47600000000000003,21,31,0.677,6,42,48,24,7,3,8,25,0.563,0.529,0.247,0.365,13.0,76.4,47.5,60.0,6.9,4.8,7.5,108.9,93.2,2015-16,0,0
Washington Wizards,Orlando Magic,88,87,1,2015-10-28,7:00 PM,"Amway Center, Orlando, Florida",33,84,0.39299999999999996,7,28,0.25,15,25,0.6,15,34,49,17,8,9,17,14,0.46299999999999997,0.435,0.33299999999999996,0.298,27.8,66.7,46.7,51.5,8.3,12.2,15.2,91.6,90.5,2015-16,0,0
New York Knicks,Milwaukee Bucks,122,97,1,2015-10-28,8:00 PM,"BMO Harris Bradley Center, Milwaukee, Wisconsin",42,93,0.452,9,23,0.391,29,35,0.8290000000000001,19,30,49,24,11,7,11,28,0.563,0.5,0.247,0.376,39.6,62.5,51.0,57.1,11.6,10.3,9.2,128.2,101.9,2015-16,0,0
Denver Nuggets,Houston Rockets,105,85,1,2015-10-28,8:00 PM,"Toyota Center, Houston, Texas",40,79,0.506,13,27,0.48100000000000004,12,18,0.667,9,40,49,26,9,10,21,26,0.604,0.589,0.342,0.228,23.7,72.7,52.7,65.0,9.3,19.2,19.5,108.2,87.6,2015-16,0,0
Los Angeles Clippers,Sacramento Kings,111,104,1,2015-10-28,10:00 PM,"Sleep Train Arena, Sacramento, California",42,80,0.525,6,19,0.316,21,31,0.677,6,36,42,20,8,9,15,19,0.593,0.563,0.23800000000000002,0.38799999999999996,14.0,75.0,46.2,47.6,7.8,12.9,13.8,108.4,101.6,2015-16,0,0
Oklahoma City Thunder,San Antonio Spurs,112,106,1,2015-10-28,8:00 PM,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",42,86,0.488,7,19,0.368,21,22,0.955,11,34,45,21,7,4,19,19,0.585,0.529,0.221,0.256,27.5,82.9,55.6,50.0,6.9,5.1,16.6,110.2,104.3,2015-16,0,1
Miami Heat,Charlotte Hornets,104,94,1,2015-10-28,7:30 PM,"AmericanAirlines Arena, Miami, Florida",36,73,0.493,12,20,0.6,20,21,0.9520000000000001,2,39,41,23,5,7,13,25,0.632,0.575,0.27399999999999997,0.28800000000000003,5.9,78.0,48.8,63.9,5.4,11.7,13.6,113.2,102.4,2015-16,0,1
Detroit Pistons,Utah Jazz,92,87,1,2015-10-28,7:30 PM,"The Palace of Auburn Hills, Auburn Hills, Michigan",30,74,0.405,7,19,0.368,25,34,0.735,8,35,43,16,2,4,10,20,0.517,0.45299999999999996,0.257,0.45899999999999996,19.0,89.7,53.1,53.3,2.2,6.3,10.1,102.4,96.9,2015-16,0,1
Boston Celtics,Philadelphia 76ers,112,95,1,2015-10-28,7:30 PM,"TD Garden, Boston, Massachusetts",39,85,0.45899999999999996,8,24,0.33299999999999996,26,27,0.963,10,31,41,31,10,7,17,23,0.578,0.506,0.282,0.318,23.8,68.9,47.1,79.5,10.1,11.5,14.9,112.6,95.5,2015-16,0,1
Portland Trail Blazers,New Orleans Pelicans,112,94,1,2015-10-28,10:00 PM,"Moda Center, Portland, Oregon",44,88,0.5,12,32,0.375,12,14,0.857,6,45,51,22,7,4,12,21,0.595,0.568,0.364,0.159,15.0,90.0,56.7,50.0,6.9,6.9,11.3,111.0,93.1,2015-16,0,1
Toronto Raptors,Indiana Pacers,106,99,1,2015-10-28,7:30 PM,"Air Canada Centre, Toronto, Canada",36,80,0.45,7,18,0.389,27,39,0.6920000000000001,9,41,50,19,8,2,20,24,0.545,0.494,0.225,0.488,22.0,83.7,55.6,52.8,7.7,3.2,17.1,102.3,95.5,2015-16,0,1
San Antonio Spurs,Oklahoma City Thunder,106,112,0,2015-10-28,8:00 PM,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",45,93,0.484,5,15,0.33299999999999996,11,13,0.846,7,29,36,22,11,9,13,18,0.537,0.511,0.161,0.14,17.1,72.5,44.4,48.9,10.8,13.4,11.6,104.3,110.2,2015-16,0,0
Charlotte Hornets,Miami Heat,94,104,0,2015-10-28,7:30 PM,"AmericanAirlines Arena, Miami, Florida",33,84,0.39299999999999996,6,24,0.25,22,29,0.759,11,32,43,16,4,1,8,16,0.486,0.429,0.28600000000000003,0.345,22.0,94.1,51.2,48.5,4.4,1.9,7.6,102.4,113.2,2015-16,0,0
Utah Jazz,Detroit Pistons,87,92,0,2015-10-28,7:30 PM,"The Palace of Auburn Hills, Auburn Hills, Michigan",35,75,0.467,2,12,0.16699999999999998,15,21,0.7140000000000001,4,34,38,15,4,5,12,25,0.516,0.48,0.16,0.28,10.3,81.0,46.9,42.9,4.5,9.1,12.5,96.9,102.4,2015-16,0,0
Philadelphia 76ers,Boston Celtics,95,112,0,2015-10-28,7:30 PM,"TD Garden, Boston, Massachusetts",34,83,0.41,7,22,0.318,20,23,0.87,14,32,46,12,11,6,22,22,0.51,0.452,0.265,0.27699999999999997,31.1,76.2,52.9,35.3,11.1,9.8,19.1,95.5,112.6,2015-16,0,0
New Orleans Pelicans,Portland Trail Blazers,94,112,0,2015-10-28,10:00 PM,"Moda Center, Portland, Oregon",36,91,0.396,11,33,0.33299999999999996,11,18,0.611,5,34,39,19,7,2,11,17,0.475,0.456,0.363,0.198,10.0,85.0,43.3,52.8,6.9,3.6,10.0,93.1,111.0,2015-16,0,0
Indiana Pacers,Toronto Raptors,99,106,0,2015-10-28,7:30 PM,"Air Canada Centre, Toronto, Canada",32,86,0.37200000000000005,9,23,0.391,26,31,0.8390000000000001,8,32,40,23,14,3,13,30,0.49700000000000005,0.424,0.267,0.36,16.3,78.0,44.4,71.9,13.5,4.8,11.5,95.5,102.3,2015-16,0,0
Los Angeles Lakers,Minnesota Timberwolves,111,112,0,2015-10-28,10:30 PM,"STAPLES Center, Los Angeles, California",35,90,0.389,9,34,0.265,32,35,0.914,12,36,48,18,2,4,13,29,0.527,0.439,0.37799999999999995,0.389,26.7,85.7,55.2,51.4,2.0,6.3,11.0,110.9,111.9,2015-16,0,1
Brooklyn Nets,Chicago Bulls,100,115,0,2015-10-28,7:30 PM,"Barclays Center, Brooklyn, New York",39,93,0.419,0,9,0.0,22,28,0.7859999999999999,16,29,45,19,11,5,13,18,0.475,0.419,0.09699999999999999,0.301,32.0,85.3,53.6,48.7,11.1,10.0,11.0,101.0,116.1,2015-16,0,1
