Team,Opponent,Win,Date,Time,Location,Season,Home,avg_team_Team-Score,avg_team_Opponent-Score,avg_team_FG,avg_team_FGA,avg_team_FG%,avg_team_3P,avg_team_3PA,avg_team_3P%,avg_team_FT,avg_team_FTA,avg_team_FT%,avg_team_ORB,avg_team_DRB,avg_team_TRB,avg_team_AST,avg_team_STL,avg_team_BLK,avg_team_TOV,avg_team_PF,avg_team_TS%,avg_team_eFG%,avg_team_3PAr,avg_team_FTr,avg_team_ORB%,avg_team_DRB%,avg_team_TRB%,avg_team_AST%,avg_team_STL%,avg_team_BLK%,avg_team_TOV%,avg_team_ORtg,avg_team_DRtg,avg_opp_FG,avg_opp_FGA,avg_opp_FG%,avg_opp_3P,avg_opp_3PA,avg_opp_3P%,avg_opp_FT,avg_opp_FTA,avg_opp_FT%,avg_opp_ORB,avg_opp_DRB,avg_opp_TRB,avg_opp_AST,avg_opp_STL,avg_opp_BLK,avg_opp_TOV,avg_opp_PF,avg_opp_TS%,avg_opp_eFG%,avg_opp_3PAr,avg_opp_FTr,avg_opp_ORB%,avg_opp_DRB%,avg_opp_TRB%,avg_opp_AST%,avg_opp_STL%,avg_opp_BLK%,avg_opp_TOV%,avg_opp_ORtg,avg_opp_DRtg,Team-Score,Opponent-Score
Washington Wizards,Orlando Magic,1,2014-10-30,7:00 PM,"Amway Center, Orlando, Florida",2014-15,0,95.0,107.0,36.0,75.0,0.48,6.0,19.0,0.316,17.0,24.0,0.708,7.0,29.0,36.0,20.0,7.0,2.0,14.0,20.0,0.555,0.52,0.253,0.32,17.9,70.7,45.0,55.6,7.7,3.8,14.1,104.3,117.5,32.0,84.0,0.381,4.0,11.0,0.364,16.0,21.0,0.762,16.0,40.0,56.0,17.0,5.0,9.0,18.0,25.0,0.45,0.405,0.131,0.25,30.8,60.6,47.5,53.1,5.3,10.7,16.2,88.2,106.1,105,98
Dallas Mavericks,Utah Jazz,1,2014-10-30,8:30 PM,"American Airlines Center, Dallas, Texas",2014-15,1,100.0,101.0,38.0,78.0,0.48700000000000004,8.0,21.0,0.381,16.0,19.0,0.8420000000000001,9.0,24.0,33.0,17.0,9.0,3.0,10.0,20.0,0.579,0.5379999999999999,0.26899999999999996,0.244,23.7,72.7,46.5,44.7,10.5,7.1,10.4,116.1,117.3,38.0,81.0,0.469,3.0,18.0,0.16699999999999998,14.0,17.0,0.8240000000000001,13.0,21.0,34.0,16.0,8.0,6.0,13.0,16.0,0.526,0.488,0.222,0.21,32.5,72.4,49.3,42.1,9.1,12.0,12.8,106.0,118.5,120,102
Minnesota Timberwolves,Detroit Pistons,1,2014-10-30,8:00 PM,"Target Center, Minneapolis, Minnesota",2014-15,1,101.0,105.0,39.0,86.0,0.45299999999999996,6.0,12.0,0.5,17.0,23.0,0.7390000000000001,19.0,28.0,47.0,20.0,8.0,4.0,23.0,21.0,0.525,0.488,0.14,0.267,45.2,73.7,58.8,51.3,8.4,6.0,19.3,105.5,109.7,31.0,84.0,0.369,6.0,26.0,0.231,11.0,19.0,0.579,8.0,37.0,45.0,15.0,4.0,5.0,15.0,27.0,0.428,0.405,0.31,0.226,17.8,72.5,46.9,48.4,4.2,8.2,14.0,82.0,92.3,97,91
Utah Jazz,Dallas Mavericks,0,2014-10-30,8:30 PM,"American Airlines Center, Dallas, Texas",2014-15,0,93.0,104.0,38.0,81.0,0.469,3.0,18.0,0.16699999999999998,14.0,17.0,0.8240000000000001,13.0,21.0,34.0,16.0,8.0,6.0,13.0,16.0,0.526,0.488,0.222,0.21,32.5,72.4,49.3,42.1,9.1,12.0,12.8,106.0,118.5,38.0,78.0,0.48700000000000004,8.0,21.0,0.381,16.0,19.0,0.8420000000000001,9.0,24.0,33.0,17.0,9.0,3.0,10.0,20.0,0.579,0.5379999999999999,0.26899999999999996,0.244,23.7,72.7,46.5,44.7,10.5,7.1,10.4,116.1,117.3,102,120
Detroit Pistons,Minnesota Timberwolves,0,2014-10-30,8:00 PM,"Target Center, Minneapolis, Minnesota",2014-15,0,79.0,89.0,31.0,84.0,0.369,6.0,26.0,0.231,11.0,19.0,0.579,8.0,37.0,45.0,15.0,4.0,5.0,15.0,27.0,0.428,0.405,0.31,0.226,17.8,72.5,46.9,48.4,4.2,8.2,14.0,82.0,92.3,39.0,86.0,0.45299999999999996,6.0,12.0,0.5,17.0,23.0,0.7390000000000001,19.0,28.0,47.0,20.0,8.0,4.0,23.0,21.0,0.525,0.488,0.14,0.267,45.2,73.7,58.8,51.3,8.4,6.0,19.3,105.5,109.7,91,97
Orlando Magic,Washington Wizards,0,2014-10-30,7:00 PM,"Amway Center, Orlando, Florida",2014-15,1,84.0,101.0,32.0,84.0,0.381,4.0,11.0,0.364,16.0,21.0,0.762,16.0,40.0,56.0,17.0,5.0,9.0,18.0,25.0,0.45,0.405,0.131,0.25,30.8,60.6,47.5,53.1,5.3,10.7,16.2,88.2,106.1,36.0,75.0,0.48,6.0,19.0,0.316,17.0,24.0,0.708,7.0,29.0,36.0,20.0,7.0,2.0,14.0,20.0,0.555,0.52,0.253,0.32,17.9,70.7,45.0,55.6,7.7,3.8,14.1,104.3,117.5,98,105
Memphis Grizzlies,Indiana Pacers,1,2014-10-31,7:00 PM,"Bankers Life Fieldhouse, Indianapolis, Indiana",2014-15,0,105.0,101.0,43.0,82.0,0.524,4.0,15.0,0.267,15.0,20.0,0.75,10.0,23.0,33.0,21.0,10.0,5.0,17.0,21.0,0.578,0.5489999999999999,0.183,0.244,26.3,54.8,41.3,48.8,10.4,6.8,15.8,109.7,105.5,38.0,81.0,0.469,8.0,25.0,0.32,19.0,28.0,0.679,14.0,36.0,50.0,22.0,5.0,13.0,17.0,24.0,0.552,0.519,0.309,0.34600000000000003,34.1,70.6,54.3,57.9,5.3,19.1,15.4,109.5,96.7,97,89
Cleveland Cavaliers,Chicago Bulls,1,2014-10-31,8:00 PM,"United Center, Chicago, Illinois",2014-15,0,90.0,95.0,32.0,70.0,0.457,9.0,24.0,0.375,17.0,20.0,0.85,11.0,22.0,33.0,22.0,5.0,2.0,19.0,15.0,0.5710000000000001,0.521,0.34299999999999997,0.28600000000000003,29.7,71.0,48.5,68.8,6.0,3.5,19.4,108.3,114.3,36.0,71.0,0.507,7.0,24.0,0.292,25.0,30.0,0.833,10.0,37.0,47.0,21.0,9.0,4.0,15.0,18.0,0.618,0.556,0.33799999999999997,0.423,29.4,72.5,55.3,58.3,10.3,5.9,15.1,119.6,92.0,114,108
Los Angeles Clippers,Los Angeles Lakers,1,2014-10-31,10:30 PM,"STAPLES Center, Los Angeles, California",2014-15,1,93.0,90.0,34.0,87.0,0.391,7.0,30.0,0.233,18.0,25.0,0.72,14.0,19.0,33.0,17.0,10.0,4.0,11.0,27.0,0.474,0.431,0.345,0.287,26.4,70.4,41.3,50.0,11.0,9.1,10.1,102.3,99.0,32.5,82.5,0.392,3.5,11.5,0.304,26.0,32.0,0.8175,11.5,25.5,37.0,18.0,8.0,3.0,12.0,25.0,0.489,0.413,0.139,0.3925,26.45,69.19999999999999,46.05,55.6,8.65,6.4,11.05,102.35,122.9,118,111
Sacramento Kings,Portland Trail Blazers,1,2014-10-31,10:00 PM,"Sleep Train Arena, Sacramento, California",2014-15,1,77.0,95.0,24.0,78.0,0.308,3.0,18.0,0.16699999999999998,26.0,35.0,0.743,15.0,35.0,50.0,13.0,11.0,3.0,26.0,26.0,0.41200000000000003,0.327,0.231,0.449,28.8,83.3,53.2,54.2,10.8,6.3,21.8,75.6,93.3,39.0,87.0,0.44799999999999995,11.0,29.0,0.379,17.0,22.0,0.773,13.0,29.0,42.0,23.0,4.0,9.0,10.0,19.0,0.5479999999999999,0.511,0.33299999999999996,0.253,31.0,67.4,49.4,59.0,4.5,13.8,9.4,119.4,100.2,103,94
