Team,Location
Cleveland Cavaliers,"Quicken Loans Arena, Cleveland, Ohio"
Atlanta Hawks,"Philips Arena, Atlanta, Georgia"
Boston Celtics,"TD Garden, Boston, Massachusetts"
Brooklyn Nets,"Barclays Center, Brooklyn, New York"
Charlotte Bobcats,"Time Warner Cable Arena, Charlotte, North Carolina"
Charlotte Bobcats,"Spectrum Center, Charlotte, North Carolina"
Charlotte Hornets,"Time Warner Cable Arena, Charlotte, North Carolina"
Charlotte Hornets,"Spectrum Center, Charlotte, North Carolina"
Chicago Bulls,"United Center, Chicago, Illinois"
Dallas Mavericks,"American Airlines Center, Dallas, Texas"
Denver Nuggets,"Pepsi Center, Denver, Colorado"
Detroit Pistons,"The Palace of Auburn Hills, Auburn Hills, Michigan"
Golden State Warriors,"Oracle Arena, Oakland, California"
Houston Rockets,"Toyota Center, Houston, Texas"
Indiana Pacers,"Bankers Life Fieldhouse, Indianapolis, Indiana"
Los Angeles Clippers,"STAPLES Center, Los Angeles, California"
Los Angeles Lakers,"STAPLES Center, Los Angeles, California"
Memphis Grizzlies,"FedEx Forum, Memphis, Tennessee"
Miami Heat,"AmericanAirlines Arena, Miami, Florida"
Milwaukee Bucks,"BMO Harris Bradley Center, Milwaukee, Wisconsin"
Minnesota Timberwolves,"Target Center, Minneapolis, Minnesota"
New Orleans Hornets,"New Orleans Arena, New Orleans, Louisiana"
New Orleans Hornets,"Smoothie King Center, New Orleans, Louisiana"
New Orleans Pelicans,"New Orleans Arena, New Orleans, Louisiana"
New Orleans Pelicans,"Smoothie King Center, New Orleans, Louisiana"
New York Knicks,"Madison Square Garden (IV), New York, New York"
Oklahoma City Thunder,"Chesapeake Energy Arena, Oklahoma City, Oklahoma"
Orlando Magic,"Amway Center, Orlando, Florida"
Philadelphia 76ers,"Wells Fargo Center, Philadelphia, Pennsylvania"
Phoenix Suns,"Talking Stick Resort Arena, Phoenix, Arizona"
Phoenix Suns,"US Airways Center, Phoenix, Arizona"
Portland Trail Blazers,"Moda Center, Portland, Oregon"
Portland Trail Blazers,"Rose Garden Arena, Portland, Oregon"
Sacramento Kings,"Sleep Train Arena, Sacramento, California"
Sacramento Kings,"Golden 1 Center, Sacramento, California"
San Antonio Spurs,"AT&T Center, San Antonio, Texas"
Toronto Raptors,"Air Canada Centre, Toronto, Canada"
Utah Jazz,"EnergySolutions Arena, Salt Lake City, Utah"
Utah Jazz,"Vivint Smart Home Arena, Salt Lake City, Utah"
Washington Wizards,"Verizon Center, Washington, District of Columbia"
